Date,Silver_Price,Crude_Oil,Interest_Rate,USD_INR,Sensex,CPI,USD_Index
01-10-2000,4538,1455.51,8,46.318297,3711.02,37.23,116.65
01-11-2000,4483,1512.47,8,46.783613,3997.99,37.31,115.24
01-12-2000,4541,1178.11,8,46.745856,3972.12,36.98,109.56
01-01-2001,4466,1208.18,8,46.536033,4326.72,36.9,110.52
01-02-2001,4370,1267.18,7.5,46.514595,4247.04,36.73,112.01
01-03-2001,4269,1166.45,7,46.609354,3604.38,36.9,117.37
01-04-2001,4267,1203.33,7,46.75567,3519.16,37.15,115.85
01-05-2001,4441,1292.57,7,46.898772,3631.91,37.4,119.07
01-06-2001,4400,1267.73,7,46.972248,3456.78,37.89,119.43
01-07-2001,4380,1169.12,7,47.121652,3329.28,38.39,117.18
01-08-2001,4449,1216.8,7,47.108333,3244.95,38.64,113.42
01-09-2001,4631,1201.16,7,47.589111,2811.6,38.56,113.48
01-10-2001,4688,995.46,6.5,47.996628,2989.35,38.8,114.86
01-11-2001,4604,897.07,6.5,47.9843,3287.5,39.14,116.13
01-12-2001,4576,887.42,6.5,47.9048,3262.33,38.89,116.75
01-01-2002,4693,925.63,6.5,48.271182,3311.03,38.72,120.24
01-02-2002,4901,972.86,6.5,48.664774,3562.31,38.64,119.16
01-03-2002,4920,1152.2,6.5,48.7337,3469.35,38.8,118.62
01-04-2002,5041,1244.02,6.5,48.908614,3338.16,38.89,115.19
01-05-2002,5226,1257.83,6.5,49.00224,3125.73,39.14,111.81
01-06-2002,5313,1199.06,6.5,48.963447,3244.7,39.47,106.11
01-07-2002,5188,1255.67,6.5,48.787774,2987.65,39.88,107.41
01-08-2002,5129,1301.25,6.5,48.603228,3181.23,40.13,106.98
01-09-2002,5239,1369.92,6.5,48.44445,2991.36,40.21,106.87
01-10-2002,5210,1331.61,6.5,48.362591,2949.32,40.38,106.64
01-11-2002,5243,1184.18,6.25,48.251105,3228.82,40.55,106.41
01-12-2002,5444,1342.56,6.25,48.176333,3377.28,40.13,101.85
01-01-2003,5752,1473.85,6.25,47.937694,3250.38,40.05,99.91
01-02-2003,5771,1569.55,6.25,47.740106,3283.66,40.13,99.71
01-03-2003,5433,1446.38,6.25,47.6645,3048.72,40.38,99.06
01-04-2003,5192,1210.97,6.25,47.403571,2959.79,40.88,97.19
01-05-2003,5561,1226.99,6,47.098325,3180.75,40.96,93.27
01-06-2003,5509,1304.45,6,46.74645,3607.13,41.21,94.73
01-07-2003,5363,1321.85,6,46.245625,3792.61,41.54,96.89
01-08-2003,5462,1363.37,6,45.943763,4244.73,41.38,98.1
01-09-2003,5718,1232.46,6,45.846923,4453.24,41.38,92.85
01-10-2003,5695,1316.78,6,45.385,4906.87,41.71,92.73
01-11-2003,5850,1325.54,6,45.486158,5044.82,41.79,90.21
01-12-2003,6094,1366.36,6,45.564722,5838.96,41.62,86.92
01-01-2004,6179,1425.74,6,45.432223,5695.67,41.79,87.2
01-02-2004,6018,1418.36,6,45.235938,5667.51,41.79,87.31
01-03-2004,5986,1515.65,6,45.05465,5590.6,41.79,87.61
01-04-2004,5916,1480.99,6,43.820866,5655.09,41.79,90.48
01-05-2004,5736,1699.29,6,45.123948,4759.62,42.12,88.95
01-06-2004,5862,1617.64,6,45.4705,4795.46,42.45,88.8
01-07-2004,6059,1744.59,6,45.9965,5170.32,42.87,89.96
01-08-2004,6126,1950.09,6,46.304,5192.08,43.28,88.94
01-09-2004,6170,1917.68,6,45.860485,5583.61,43.37,87.36
01-10-2004,6361,2146.34,6,43.929104,5672.27,43.61,84.91
01-11-2004,6551,1900.58,6,45.110681,6234.29,43.53,81.82
01-12-2004,6445,1717,6,43.760714,6602.69,43.2,80.85
01-01-2005,6149,1880.23,6,43.735192,6555.94,43.61,83.6
01-02-2005,6108,1957.6,6,43.6175,6713.86,43.53,82.51
01-03-2005,6262,2225.57,6,43.638871,6492.82,43.53,84.06
01-04-2005,6151,2215.05,6,43.696167,6154.44,43.86,84.43
01-05-2005,6030,2080.2,6,43.452903,6715.11,43.7,87.76
01-06-2005,6134,2348.85,6,43.557322,7193.85,43.86,89.11
01-07-2005,6058,2454.2,6,43.490185,7635.42,44.61,89.35
01-08-2005,6249,2700.01,6,41.960666,7805.43,44.77,87.58
01-09-2005,6535,2709.21,6,43.876667,8634.48,44.94,89.52
01-10-2005,6874,2608.22,6,44.729667,7892.32,45.44,90.07
01-11-2005,7168,2516.77,6,45.629655,8788.81,45.85,91.57
01-12-2005,7586,2576.49,6,45.694401,9397.93,45.6,91.17
01-01-2006,7925,2773.13,6,44.351481,9919.89,45.52,88.96
01-02-2006,8038,2646.56,6,44.254711,10370.24,45.52,90.11
01-03-2006,8059,2709.89,6,44.370555,11279.96,45.52,89.73
01-04-2006,8985,3055.21,6,44.801205,12042.56,45.9,86.11
01-05-2006,9969,3118.7,6,45.253648,10398.61,46.29,84.72
01-06-2006,8952,3145.13,6,45.893571,10609.25,47.05,85.22
01-07-2006,9559,3365.75,6,46.384958,10743.88,47.43,85.3
01-08-2006,9469,3341.97,6,46.491078,11699.05,47.43,85.05
01-09-2006,8998,2865.03,6,46.119517,12454.42,47.82,85.97
01-10-2006,8695,2633.08,6,45.438276,12961.9,48.58,85.32
01-11-2006,9140,2607.99,6,44.811532,13696.31,48.58,82.92
01-12-2006,9133,2722.26,6,44.6325,13786.91,48.58,83.72
01-01-2007,9069,2373.05,6,44.30621,14090.92,48.58,84.61
01-02-2007,9545,2541.99,6,44.123729,12938.09,48.96,83.57
01-03-2007,9370,2667.95,6,44.014345,13072.1,48.58,82.93
01-04-2007,9321,2742.35,6,42.276562,13872.37,48.96,81.45
